Id,Idade,Faixa idade,Gênero,Cor/raca/etnia,PCD,Vive no Brasil,Estado onde mora,UF onde mora,Região onde Mora,Nível de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionários,Cargo Atual,Nível,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?,Existe faculdade no Estado
i9lbqt9n42xwubbk3i9lbqt4s94ju7cc,27,2,0,6,0,1,Paraná (PR),16,Sul,2,2,Empregado (CLT),1,Acima de 3.000,6,2,13,3,5,0,0
ib4m8usc090ux1hokpsib4m8cgjtl3q5,20,0,0,6,0,1,Piauí (PI),15,Nordeste,0,4,Empregado (CLT),15,Acima de 3.000,1,1,9,1,2,0,0
ibpllmv3qbonh1hh1zt02ks7aibpllmv,27,2,0,2,0,1,Paraná (PR),16,Sul,1,7,Empregado (CLT),16,de 1.001 a 3.000,0,1,11,3,2,0,0
ic0jbxd0bjqt6ckqiuq66ic0jbu0y8hj,44,5,0,1,0,1,Minas Gerais (MG),9,Sudeste,2,2,Empregado (CLT),1,de 501 a 1.000,4,2,4,0,4,0,1
ic4igr0es36nl9so77kic4igmze16l51,36,4,1,1,0,1,São Paulo (SP),23,Sudeste,2,2,Empregado (CLT),18,Acima de 3.000,6,1,13,5,1,0,1
icctfwyqhzevaphzpzicctfwgplnkqtb,29,2,0,1,0,1,São Paulo (SP),23,Sudeste,1,7,Empregado (CLT),16,de 101 a 500,1,1,11,4,2,0,1
idugy3rqhjprrjyyykfbidu5fbh53u2z,53,7,0,0,0,1,São Paulo (SP),23,Sudeste,2,4,Servidor Público,14,Acima de 3.000,3,2,7,6,0,0,1
iencaeysm3itxw7iencamach6ys1kgqi,30,3,1,1,0,1,Rio Grande do Sul (RS),20,Sul,2,7,Empregado (CLT),4,Acima de 3.000,1,0,11,3,2,0,0
ifdn65blw8bu4uslnjf5ifdnrukwn3om,23,1,0,4,0,1,São Paulo (SP),23,Sudeste,2,7,Empregado (CLT),4,Acima de 3.000,1,1,11,3,1,0,1
ifgj2ddf968m3hgan2i6ifgj2dlnqk49,23,1,0,1,0,1,Minas Gerais (MG),9,Sudeste,1,2,Empreendedor ou Empregado (CNPJ),0,de 101 a 500,6,0,9,3,1,0,1
