Id;Idade;Faixa idade;Gênero;Cor/raca/etnia;PCD;Vive no Brasil;Estado onde mora;UF onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Setor;Numero de Funcionários;Cargo Atual;Nível;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?;Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?;Cientista de Dados/Data Scientist
ulz6c0y92nvvllxazyh35sdulz6c0ycy;32;30-34;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);Tecnologia/Fábrica de Software;de 1.001 a 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;de 3 a 4 anos;;
umakdqxdior38tw5umakdqhtirij6l1g;27;25-29;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Outra Opção;de 101 a 500;Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;de 3 a 4 anos;;
umi1xwk1tka0zfd0qg9sezumi1xjmk2q;44;40-44;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;de 51 a 100;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;Mais de 10 anos;;
umj25y4qb8hjr45umjhvgd4mkahbgl63;45;45-49;Feminino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Finanças ou Bancos;Acima de 3.000;Analista de Dados/Data Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Menos de 1 ano;;
umngxa98vf4fjdo27xb9c830umngxa9o;32;30-34;Masculino;Branca;Não;1;Distrito Federal (DF);DF;Centro-oeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área de Consultoria;de 501 a 1.000;;;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;de 7 a 10 anos;51 - 100;1
umq3l9u8eznrkqctw4uefatprtumq3j1;30;30-34;Masculino;Preta;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área de Consultoria;Acima de 3.000;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;de 3 a 4 anos;;
umtxmggcrfo9ytsuu3youmtxmgg7908q;35;35-39;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;
umyvn75sg4wqzutjagumyvn7owy002x6;25;25-29;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Setor Público;de 501 a 1.000;Cientista de Dados/Data Scientist;Júnior;de R$ 1.001/mês a R$ 2.000/mês;de 1 a 2 anos;de 1 a 2 anos;;
unj7xei7gdx0463xfunj77t5zyr26vr2;25;25-29;Masculino;Branca;Não;1;Rio Grande do Sul (RS);RS;Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de BI/BI Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
unqfcu68kskyz1x7unqfqgmglegn89zw;30;30-34;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Entretenimento ou Esportes;de 501 a 1.000;Analista de Inteligência de Mercado/Market Intelligence;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 1 a 2 anos;;
